,message_id,message_text
155,24302,"Новая палетка теней для век OG Naked от Urban Decay - да, они все ещё существуют 

Возвращается она по многочисленным просьбам в ограниченном количестве, культовые 12 нейтральных теней для век в ультрагладких матовых, мерцающих металликах, мерцающих и бархатистых атласных оттенках за 59$"
182,24275,"Девы (и не только!) у меня отличнейший рекомендасьон для вас сегодня. 

Если вы вдруг, а я уверена сейчас все попадаются на эту проблему – что-то заказать и купить в Европе, а доверять непонятно кому страшно, то это информация для вас – прекрасная Дарья персональный шоппер, которая живет в Италии, [работает](https://t.me/dasha_will_buy) с огромным количеством мультибрендов! 

За счет большого потока заказов у Даши есть возможность попадать на закрытые сейлы и личные скидки. Например, я в свое время помню, когда Matchesfashion присылал тебе коды на 50% скидку, когда ты был их постоянным клиентом 🥹

Даша все выкладывает в свой телеграм канал, очень удобно следить что там происходит в магазинах в Европе, пока там есть свой человек 💗

Если вдруг вам что-то понадобится купить или заказать, то настоятельно рекомендую вам Дарью под свою ответственность 😌


**КАНАЛ ДАШИ 🤗 **
https://t.me/dasha_will_buy"
194,24262,"Когда вышла замуж за миллионера, родила ему 8 детей, следишь за всем хозяйством на ферме, готовишь и ведёшь блог на аудиторию 9 миллионов, а он тебе дарит на др ФАРТУК ДЛЯ ЯИЦ 😱 🙀

Его семья буквально владеет авиалиниями, отвезите девушку в Грецию блять 😅😅😅😅"
218,24238,"Давно не было моей любимой рубрики - подборок на #Lamoda Lamoda, в этот раз собрала несколько платьев, которые нужно успеть прогулять до конца лета 🤗💓

[Первое](https://www.lamoda.ru/p/XD001XW00J9K/) и [второе,](https://www.lamoda.ru/p/MP002XW1C4TG/) но в разных оттенках от Top Top, я взяла розовое, оно классно подойдут по длине, если у вас рост 160-165 😌 

[Длинный сарафан](https://www.lamoda.ru/p/MP002XW13JAM/) с открытой спиной, мне понравился в голубом оттенке, но он есть в разных вариантах 😘

Это пляжное [платье Sea Folly давно](https://www.lamoda.ru/p/RTLADC944401/) держу у себя в вишлисте, можно без проблем носить в городе в жаришку! 

И моё [любимое платье,](https://www.lamoda.ru/p/MP002XW14AMF/) которое я [показывала](https://t.me/kosmetos/23377) уже, появилось во всех размерах (у меня размер S)

__По хештегу ____#Lamoda____ можно посмотреть все мои подборки, и как обычно, используйте мой промокод KOSMETOS на скидку 15% на кучу товаров 😌💓__"
227,24220,"Новая тушь EXAGGER-EYES Volume от Сharlotte Тilbury 

Не размазывается, не осыпается, не образует комочков и устойчива к влажности. Более крупные, густые, длинные ресницы и ультраизогнутая щеточка для укладки ресниц, которая разделяет каждую ресничку, обеспечивая мгновенный объем и изгиб от корней до кончиков. Дизайн, вдохновленный элегантностью эпохи ар-деко."
237,24210,"Celine Beauté расширяет свою косметическую линию и теперь занимается декоративной косметикой! Включает категорию для губ «Le Rouge Celine», а также классическую помаду «Rouge Triomphe» с атласным финишем, украшенную золотом и тисненым логотипом CELINE, в 15 оттенках. Палитра, кожаный футляр для губ, зеркала, тонированные бальзамы для губ, тушь, пудры для лица, подводки для глаз, карандаши для глаз, лак для ногтей и многое другое поступят в продажу в январе."
275,24172,"Sabrina Carpenter выпускает новый аромат 🍒✨Cherry Baby 

«Я бы сказал, что этот аромат было труднее всего подобрать правильно, потому что нам нужно было почувствовать запах настоящей вишни» 49$

Будет доступно 25 июля на ее сайте."
295,24152,"Новые гелевые подводки для глаз и маркеры The Border Line от Rem Beauty 

✨Гель-карандаш для глаз At The Border Line — 19$ Водостойкая, долговечная ультрагладкая формула для четких линий и точной детализации. В 10 оттенках.

 ✨Гель-маркер для глаз The Border Line. 20$ Более тонкий фетровый кончик и насыщенный пигмент в 4 оттенках. Веганский.

Будет доступно 30 июля."
313,24134,"Новая палетка Appley In Love от Too Faced 

Вдохновленная яблоками палетка с нейтральными, красными, зелеными и теплыми карамельными оттенками с различными финишами в кремовой, легко растушевываемой формуле.  18 оттенков пахнут карамельными яблоками. 54$"
327,24120,"Новая коллекция губных помад Explicit Satin Lipstick от Nars 

Атласная помада, обеспечивающая длительный комфорт, яркий цвет и кремовую. Точный кончик помогает определить, контурировать и моделировать губы. Лёгкое, от среднего до полного покрытия, с разглаживающим маслом семян шиповника и гиалуроновой кислотой для удержания влаги, в многоразовом футляре. 40$"
328,24119,"**Совет на 2024 год — инвестируйте в недвижку Эмиратов.** Это доход в стабильной валюте, 0% налогов и безбедная старость. 

**Чтобы получать прибыль уже в этом году, а не через пару десятков лет —** держите в подписках Андрея Негинского [neginskiy_uae](https://t.me/+LRu9ZM_l8v9hYzcy) (уже 62.000 человек). Там 4 раза в неделю появляется новый вариант сразу со стоимостью.

С этим каналом вы будете зарабатывать в пассиве 6-10% годовых в долларах и вам даже не придется самостоятельно искать арендаторов.

В ближайшие 24 часа Негинский [neginskiy_uae](https://t.me/+LRu9ZM_l8v9hYzcy) составит бесплатную подборку проектов с расчетом доходности каждому, кто подпишется на канал и нажмет на кнопку в закрепе."
336,24111,"Уууу какие новости сегодня весь день обсуждаем, Бакальчук, ее муж и Кадыров и один большой жирный развод 🫨

https://www.forbes.ru/biznes/517421-eto-razvod-bakal-cuk-otreagirovala-na-soobsenia-o-rejderskom-zahvate-wildberries?utm_source=forbes&utm_campaign=interesting-today"
342,24105,"Любимое Золотое Яблоко празднует свой др и готовит кучу подарков всем 💗

Если вы хотели сделать онлайн-заказ, то сейчас самое время, потому что куча скидок до -60% 💓 

А если сделать покупку от 5000₽, то можно участвовать в розыгрыше крутейших бьюти-боксов 💫

Кстати, некоторые мои любимые продукты и бренды можно купить в ЗЯ, я писала вчера в отдельный пост! 😋 Например, [карандаш](https://goldapple.onelink.me/jLXC/oihcw14n) для губ в оттенках 353 и 318 и [праймер](https://goldapple.onelink.me/jLXC/blryiy3u) для губ Inglot 💓 А так же, не упущу возможность наконец заказать бренд [Simihaze](https://goldapple.onelink.me/jLXC/e62me36r) (взяла бальзам для губ и кремовый бронзер для лица) который представлен только в @goldapple 😝"
351,24096,"Meta Марка Цукерберга рассматривает 5-процентную долю в материнской компании Supreme.
 ⁠
Если сделка состоится, Цукерберг, как сообщается, будет ориентироваться на более молодую аудиторию с помощью умных очков Meta бренда Supreme 👀⁠ Когда бумер пытается омолодиться засчёт подростков..."
352,24095,"Новинки линейки Porefessional от Benefit Cosmetics 

 Включает в себя: 
 ✨Матовый праймер Porefessional. Матирующее средство мгновенно впитывает излишки масла, обеспечивая стойкий результат. С ниацинамидом, витамином B3, шиповником. 

 ✨Мини-пудра Porefessional Power Powder. Сверхтонкая рассыпчатая пудра закрепляет макияж и размывает поры. Шелковистая формула невесомо скользит по коже, создавая естественно матовое покрытие."
358,24089,"Хочу напомнить вам, что целлюлит – это нормально, и он может возникнуть у людей любого типа телосложения и веса, в том числе у спортсменов. Не позволяйте стандартам красоты определять вашу самооценку 🙏🏻"
363,24084,"Новые продукты Make Up For Ever:

 🤎Палитры теней для век Mini Artist To Go 32$

 💄Rouge Artist For Ever Satin & Matte Lipstick — 28$ кремовая, высокопигментированная губная помада с мягким и невесомым ощущением, обеспечивающая комфортное ношение до 16 часов. 8 оттенков с сатиновым финишем. 12 оттенков с матовым финишем."
371,24076,"Новые продукты для лица о. prada 

Включает в себя:
✨Фиксирующая пудра 90$.
Невесомая восстанавливающая пудра-фиксатор, которая обеспечивает мгновенный матовый эффект, контролируя блеск в течение всего дня.

 ✨Refine Blurring - праймер $50. Мгновенно размывает поры и минимизирует видимость тонких линий, обеспечивая гладкую кожу, эффект мягкого фокуса и безупречное нанесение, насыщен комплексом кислот AHA + BHA + LHA и пантенолом, минимизирует потерю воды, увлажняет кожу."
379,24068,"Новые ароматы Born In Roma от Valentino 

 ✨Born in Roma The Gold Donna. Аромат, вдохновленный ярким цветом золота с солнечными и теплыми нотами. Верхняя нота: итальянский мандарина.
Нота сердца: аккорд золотой гардении. Базовая нота: солнечный аккорд кокоса.

 ✨ Born in Roma The Gold Uomo. Вдохновлен ярким цветом золота с солнечными и пряными нотками. Верхняя нота: смесь специй. Нота сердца: эссенция кедра из Вирджинии. Базовая нота: амбровый аккорд ванили."
405,24042,"Немного расскажу про мои последние фавориты в декоративной косметике, которые использую каждый день!

💓 BB cream от Eva Mosaic, у меня чуть более темный оттенок 2: шикарно выглядит на коже, не забивает поры, очень красивый ровный тон и главное чуть темнее, чем тон моей кожи! На загар идеально! 

💓 Очень понравились с последней интеграции с Eva mosaic эти моно тени, у меня в нескольких оттенках, самый красивый и базовый теплый блестящий оттенок номер 25. Очень красиво смотрится! Напоминает моно тени от Наташи Деноны

💓 Кремовые румяна от Art–Visage буду теперь собирать, у меня тон 1 и 2, наносится без пятен и тд! 

💓 Мятный плампер для губ от Be young, наношу его когда крашусь, очень классно увеличивает 👄 

💓 Мой любимый Lip Gloss сейчас - Ciate Dewy gloss в оттенке Revelation, ооочень приятный и безумно красиво смотрится, не слишком блестит и не липнет, я в восторге

💓 Праймер для ресниц Latte Milano: наношу его перед любой тушью! Уплотняет и удлиняет дополнительно реснички! 

💓 Бронзер и пудра от Charlotte Tilbury, если не знаете что купить у Шарлотт в первую очередь, то это два моих самых любимых продукта, оттенок (medium) бронзера идеален, а пудра очень круто «фотошопит» лицо.

💓 Черная подводка Eva Mosaic, очень легко наносится, держится идеально и без «припечатываний» 

💓 Любимый карандаш Inglot 353 (либо 318 если хотите чуть розовее) идеально сочетается с блеском Ciate 😋"
415,24032,"Дочь эмира Дубая объявила мужу о разводе через инстаграм. У принцессы больше 700 тысяч подписчиков.

«Дорогой муж, поскольку ты занят другими спутниками, я объявляю о нашем разводе. Я развожусь с тобой, я развожусь с тобой, Я Развожусь С Тобой»

Хочу почитать ее тред про ЧТО БЫЛО."
429,24018,"Очень хочу поговорить с вами про липофилинг, особенно на лице, очень интересует данная процедура. И сколько держится? 

Но до этого, хочу рассказать про кейс подруги, которая делала грудь у французского хирурга, там интересна методика – когда тебе ставят имплант на мышцу и обкладывают это все собственным жиром, чтобы выглядело максимально реалистично. Думаю такой кейс был у Кендалл Дженнер. 
Ей же (подруге) пользуясь случаем выкачки жира еще сделали липофилинг в губы, под глаза и щечки. И все держится уже много лет, хотя я вижу кейсы когда люди переделывают раз в 1-2 года. 

Короче, кто тут знаток, хочу жир в рожу 🤣"
462,23985,"Странненький спонж для растушевки макияжа Real Teqniques 

Создан с использованием технологии отпечатков пальцев, имитирующей нанесение макияжа пальцами, уменьшает впитывание продукта и обеспечивает естественный, имитирующий кожу вид. Обеспечивает легкое покрытие без разводов и естественный вид кожи.  Лучше всего работает с жидкими и кремовыми продуктами. Для достижения наилучших результатов используйте спонж для макияжа в сухом виде $8,99"
488,23959,"Libre Flowers and Flames Eau de Parfum Florale YSL 

Теплая и чувственная солнечная интерпретация культового аромата Libre. В сердце этого аромата цветут солнечные и сливочные цветы кокосовой пальмы, смешанные с пряным и солнечным цветком лилии, насыщенная ваниль добавляет тепла и незабываемого стойкого эффекта.

Ключевые ноты: аккорд цветов пальмы, аккорд лилии, апельсин"
495,23949,"**Dior** и **Armani** выступили с заявлениями по поводу недавнего скандала на тему неудовлетворительных условий труда на их производствах. Подробнее можно прочитать [выше](https://t.me/theblueprintnews/52318), но напомним, что компании обвиняются в использовании дешевой иностранной рабочей силы, эксплуатации рабочих (работа круглые сутки с несоблюдением мер безопасности), а также в факте того, что итоговая стоимость производства сумок составляет €53 (из этой суммы далее складывается зарплата рабочих), хотя затем продают их за €2600 в бутиках. Обе компании открестились от обвинений, заявив, что подрядчикам удалось скрыть все от аудиторов. Впредь работать с ними не будут и проведут собственные расследования. 

Также Dior подчеркнули, что СМИ жонглируют фактами, говоря о низкой стоимости производства женских сумок, когда в реальности рабочие находились на производстве мужских кожаных изделий. «Dior продолжит предлагать лучшие условия труда для всех, кто вносит вклад в создание наших изделий, с приверженностью бренду и пониманием, как создать продукт наилучшего качества», — говорится в заявлении модного дома. В завершении бренд подчеркнул, что создал более 4000 рабочих мест за те 30 лет, что сотрудничает с лучшими итальянскими фабриками."
508,23936,"🐶 
28 июля с 12 до 18 часов в парке на Красной Пресне пройдет благотворительное мероприятие «Физкульт-гав-гав!» в поддержку приютских животных. 

Событие организовано Клубом для собак Class&Fit и фондом помощи животным «Твое собачье дело» – в поддержку подопечных фонда и для развития инициативы помощи бездомным животным.

Тайминг мероприятия:

12:00 – открытие 
12:00-18:00 – мастер-классы по ноузворк от тренеров Полины Яковлевой и Дмитрия Прутковского
12:00-16:00 – когтикюр и бережное окрашивание от грумеров салона PetsZone
12:30 – выступление учредителей фонда «Твое собачье дело» и Клуба Class&Fit
13:30 – лекция кинолога Ольги Клочковой, мастер-класс по фитнесу 
14:00 – выступление владельцев питомцев из приюта
14:30 – лекция кинолога Ульяны Бондарь, мастер-класс по фитнесу
15:00 – мастер-класс по изготовлению декоративного ошейника от бренда handmade аксессуаров для собак «Не тяни»
16:00 – благотворительный аукцион
18:00 – закрытие 

Самым активным участникам достанутся подарки от партнеров – бренда профессиональной косметики для ухода за домашними животными Pamilee и груминг-салона Businka Pet. В течение всего дня на мероприятии будет работать маркет с красивыми и полезными вещами для питомцев и их хозяев и пройдет своп вещей для питомцев.

Вход свободный. Участие в мастер-классах за донейшн и [по регистрации.](https://forms.yandex.ru/cloud/668e36a073cee7a0aa9f76d0/) 

Встречаемся в парке на Красной Пресне в воскресенье, 28 июля. Начало в 12."
534,23910,"Нереальная осенне-зимняя коллекция Hermes 

Включает в себя:
✨Помады Rouge Hermes 
 ✨ Палетка теней для век Ombre d’Hermès оттенка Ombre Mineral. С кобальтово-синим, мягким хаки, теплым коричневым и золотым.
✨Лак для ногтей Le Main Hermes"
542,23902,"Собрала для вас мини список summer essentials для города и для поездки на моря! 

Не могу обойти вниманием, нашла на Мегаркете оригинальный гликолевый [тоник от The Ordinary,](https://megamarket.ru/catalog/details/tonik-s-glikolevoy-kislotoy-7-the-ordinary-glycolic-acid-7-toning-solution-240-ml-600005319504/?utm_source=bloger_tg&utm_medium=social&utm_campaign=17_07_kosmetos&utm_erid=2SDnjcytm38) уже не первый раз пишу о его мульттаскинг возможностях 🙂‍↔️

Очень люблю корейский [бренд Centella,](https://megamarket.ru/catalog/details/ultralegkiy-solncezashitnyy-krem-skin1004-madagascar-centella-air-fit-suncream-plus-spf50-600011989275_14126/?utm_source=bloger_tg&utm_medium=social&utm_campaign=17_07_kosmetos&utm_erid=2SDnjcytm38) их умывалки, гидрофильное масло и вот этот крем спф, очень лёгкий, но защищает на все сто 💯 

Немного фэнси покупка, но не могу не сказать, это [масло от St Barth](https://megamarket.ru/catalog/details/maslo-pomadnogo-dereva-st-barth-spf6-125-ml-100033022136_50000/?utm_source=bloger_tg&utm_medium=social&utm_campaign=17_07_kosmetos&utm_erid=2SDnjcytm38) лучшее для усиления загара, он с ним идеально красивый и ровный, более того, я с ним никогда не сгораю, хотя там совершенно практически нет спф 🤓

Недавно хвалила этот [крем для тела от Zeitun,](https://megamarket.ru/catalog/details/krem-dlya-tela-zeitun-ritual-soblazna-s-zhasminom-i-naturalnym-afrodiziakom-200-ml-100026631086/?utm_source=bloger_tg&utm_medium=social&utm_campaign=17_07_kosmetos&utm_erid=2SDnjcytm38) который просто потрясающе пахнет, беру уже вторую банку. После душа / загара идеально 🤩 

И последняя моя рекомендация, если вы тоже ненавидите летом (особенно в отпуске) использовать тушь, а реснички хочется красивые, начните использовать [сыворотки для ресниц, такая как TopLash –](https://megamarket.ru/catalog/details/syvorotka-dlya-rosta-resnic-i-brovey-toplash-lash-and-brow-booster-top-101-600005098346_17323/?utm_source=bloger_tg&utm_medium=social&utm_campaign=17_07_kosmetos&utm_erid=2SDnjcytm38) за месяц вы увидите офигенный результат, я очень редко крашу ресницы теперь, мне хватает только подкрутить кёрлером)

Огромное количество товаров можно найти на [Мегамаркете! ](https://megamarket.ru/landing/rasprodazha-keshboj/?utm_source=bloger_tg&utm_medium=social&utm_campaign=17_07_kosmetos&utm_erid=2SDnjcytm38)

В июле действует повышенный кешбэк до 50% бонусами СберСпасибо. А для мегавыгодного шопинга — промокод [МОЕЛЕТО](https://megamarket.ru/promo/pravila-akczii-promokod-na-pervyj-zakaz-2000-ot-6000-jnsm/?utm_source=bloger_tg&utm_medium=social&utm_campaign=17_07_kosmetos&utm_erid=2SDnjcytm38) со скидкой 2 000 рублей на первый заказ от 6 000 рублей до 31 июля. Условия акции [ЗДЕСЬ](https://megamarket.ru/promo/pravila-akczii-cashboy/?utm_source=bloger_tg&utm_medium=social&utm_campaign=17_07_kosmetos&utm_erid=2SDnjcytm38) 💓"
549,23894,"На продажу вышла ооочень редкая Параиба (они считаются очень дорогими, так как прекратили добывать этот камень). 
142.58-carat African Paraiba tourmaline на выставке GemGenève. 🩵 

Надеюсь кто-то успеет ее выкупить до Амбани 😬"
557,23886,"Илон Маск перевозит свою компанию из Калифорнии в Техас. 

Миллиардер заявил, что компании будут действовать в ответ на новые законы о гендерной идентичности в Калифорнии, нанося удар по Кремниевой долине на фоне затянувшегося спора Маска с губернатором Гэвином Ньюсомом.⁠ новый закон запрещает требовать от сотрудников школ уведомления родителей об изменении гендерной идентичности учащихся.
⁠
Маск, который ранее вызывал споры своими публичными заявлениями о трансгендерах, заявил, что решение Ньюсома подписать закон стало «последней каплей».
⁠
«Из-за этого закона и многих других, которые ему предшествовали, нападая как на семьи, так и на компании, SpaceX теперь перенесет свою штаб-квартиру из Хоторна, Калифорния, в Старбазу, Техас», — написал Маск на X.⁠"
614,23829,"А вот и съёмка летней коллекции HELSA, бэкстейдж которой недавно показывала. Называется она Стокгольмский архипелаг - Scandi Summer. 

""Вдохновением для этого капли послужило лето моего детства: бесконечные летние дни, лежащие под полуденным солнцем, на фоне непритязательной, сырой скандинавской природы.  Маленький красный домик у океана, где вы храните свои любимые летние платья, самые удобные пижамы и легкие льняные вещи, которые вы будете носить снова и снова каждое лето.  Единственная необходимая прическа — со старой соломенной шляпой, возможно, пара поношенных резиновых сапог или шелковый шарф, чтобы волосы не падали на лицо."""
688,23755,"Как мне нравится что делает okolo, их подача, продукты и весь визуал ☺️

**Сейчас у ребят проходит акция, они в Золотом Яблоке - приятная арифметика 🤓 При покупке двух средств у вас одно идет в подарок! 🎁 
**
Отдельно советую их средства для тела, а про уход немного поподробнее расскажу, какие бы я выбрала продукты! 

🤗[Мягкий отшелушивающий бустер](https://goldapple.ru/19000141176-biome-barrier-booster) с миндальной кислотой, отлично подойдет для чувствительной и кожи с розацеей 💓 Нанести до крема, дать высохнуть и нанести сверху крем! 

🤗Наверно самый интересный и уникальных продукт - [многоразовый шариковый роллер из](https://goldapple.ru/19000165318-matte-volcano-roller) минералов вулканической глины. Его можно таскать в сумочке и убирать излишки себума даже на коже с макияжем, он не повредит ваш тон 💓

🤗 [Сыворотка с витамином С](https://goldapple.ru/19000067047-juicy-brightening-serum) от постакне и пигментации, советую наносить ее вечером, можно без дополнительного крема 👍🏻 

🤗 [Тоник для сияния кожи, который](https://goldapple.ru/19000047563-biome-bright-toner) осветлит ее и поможет отрегулировать уровень кожного сала. Если у вас есть воспаления - он их успокоит! 

Не пропустите акцию, она проходит до 14 июля 💗"
700,23743,"Свадьба обойдется семье Амбани в $320 млн, это не учитывая то, что пару месяцев назад мы наблюдали праздник до свадьбы 🤣

Отец жениха, Мукеш Амбани, является владельцем крупнейшей негосударственной компанией Reliance Industries, которая владеет предприятиями, занимающимися энергетикой, нефтехимией, текстилем, природными ресурсами, розничной торговлей и телекоммуникациями по всей Индии.

К слову, 87% населения Индии находятся за чертой бедности 😐"
735,23708,"Издательство SL Edition выпускает при инициативе Saint Laurent книгу __Zoe__, посвященная сотрудничеству Зои Кравиц с Энтони Вакарелло. Фотограф снимков Henrik Purienne. Просто сделали красивую фотосессию и издали книгу с ней..."
743,23700,"Блог [Bethany Ciotola](https://www.instagram.com/reel/C9UuZkJujmG/?igsh=MWh1eDI2Y2JpMGhrZg==) в запрещенной сети мой самый любимый в последнее время. У нее такой свой особенный стиль, красота и все вокруг нее 😭💓"
751,23692,"Совершив неожиданный публичный выход на церемонии вручения наград ESPY Awards 2024, герцогиня Сассекская присоединилась к принцу Гарри (который был награжден премией Пэта Тиллмана за заслуги) вчера вечером на красной дорожке.  По этому случаю Меган Маркл выбрала белое платье с открытой спиной."
